id;first_name;last_name;gender;email;phone;address_line_1;address_line_2;city;country;user_id
1;Hassie;Dibbert;FEMALE;";*r@}>HqJ(.\";872-854-0504 x10253;idle lonely oh;so;Broomfield;Lesotho;1
2;Jalen;Funk;OTHER;"L\Z@~#}Z^.(wY";1-929-716-2545;yieldingly indeed;essential;Fort Salvatore;South Africa;2
3;Cora;Hilpert;OTHER;";@/B0|7.m`a";511.457.7095 x87172;what;needily chives inwardly;Theresestead;Bulgaria;3
4;Bertrand;Stamm;MALE;"2[@6tr.w74";904-877-0838 x49199;concerning grave dearest;chart frenetically;Demarcoberg;Canada;4
5;Della;Kertzmann;FEMALE;";siu.G@0d||?.-PjRC";773-363-9022;save;key yowza physically;Placentia;Belgium;5
6;Adolphus;Donnelly;MALE;"dXp~M@oTc.jT0'LA";(396) 728-6742 x360;modulo so;astride muddy;South Kianland;Trinidad and Tobago;6
7;Winfield;Oberbrunner;MALE;"a@2)g.~<bM";(526) 447-3997 x30683;giving woot absent;blah outside;Millieburgh;Serbia;7
8;Bart;O'Keefe;FEMALE;"q}=e@J.WZ?.%";1-479-761-9628 x6845;oppose;anti brr acidly;Lehnerfort;North Macedonia;8
9;Kenton;Rath;FEMALE;"e@sW[Eq.Pc";(504) 239-1652 x6154;meh mmm crossly;corporal fruitful when;Port Noelton;Thailand;9
10;Gerson;Sawayn;FEMALE;"pwyV9@FZP.Ao0},";(397) 705-2639 x519;stable tender;pardon upon;South Clemens;Fiji;10
